"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.693814292E0,5.561177433E-2,8.060498163E-3,2.647013590E-2
3.703779292E0,-7.124581933E-2,2.511687018E-2,-8.177784272E-3
3.713743292E0,-1.636428535E-1,5.140386522E-2,-2.894191816E-2
3.723708292E0,-1.636548191E-1,5.413672701E-2,-3.704475611E-2
3.733673292E0,-5.421487987E-2,2.193830721E-2,-2.558330819E-2
3.743638292E0,8.259963244E-2,-8.161757141E-3,9.198332205E-3
3.753603292E0,1.590243727E-1,-5.127647147E-2,3.882919624E-2
3.763568292E0,1.023535728E-1,-6.318288296E-2,4.157273844E-2
3.773533292E0,-5.149032176E-2,-3.001774102E-2,2.751231566E-2
3.783498292E0,-1.704174280E-1,1.321988832E-2,-3.624957521E-3
