"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.925095577E2,5.221706473E1,4.525976997E0,1.955561335E0,2.916842681E1,2.523065338E2,2.036767662E1,3.000000000E0
1.935095603E2,5.221698411E1,4.525565485E0,2.452374618E0,2.900071621E1,2.523065338E2,2.480365516E1,3.000000000E0
1.945095638E2,5.221690160E1,4.525120380E0,2.432724173E0,2.907448534E1,2.540097961E2,2.314370462E1,3.000000000E0
1.955095663E2,5.221682027E1,4.524880752E0,2.730494403E0,2.743415502E1,2.407979279E2,1.672014979E1,3.000000000E0
1.965095705E2,5.221659905E1,4.524664047E0,2.515784154E0,2.673824612E1,2.411188049E2,3.859458279E1,3.000000000E0
1.975095733E2,5.221648112E1,4.524317036E0,2.140779790E0,2.649835389E1,2.410042877E2,4.563855759E1,3.000000000E0
1.985095779E2,5.221636665E1,4.523980744E0,2.029414822E0,2.606000685E1,2.410042877E2,4.942533243E1,3.000000000E0
1.995095814E2,5.221627289E1,4.523627288E0,1.779756641E0,2.550937592E1,2.410042877E2,5.156398787E1,3.000000000E0
2.005095857E2,5.221656683E1,4.522971585E0,1.667174353E0,2.459443934E1,2.508334751E2,9.885840051E0,3.000000000E0
2.015095900E2,5.221650317E1,4.522637755E0,1.503186533E0,2.412949038E1,2.510660724E2,9.539465260E0,3.000000000E0
2.025095944E2,5.221646107E1,4.522290822E0,1.334015938E0,2.361058422E1,2.510033958E2,8.858428367E0,3.000000000E0
2.035095996E2,5.221639742E1,4.521992866E0,1.721711525E0,2.308296669E1,2.509552876E2,8.930527451E0,3.000000000E0
2.045096043E2,5.221632322E1,4.521685883E0,1.532695629E0,2.259534953E1,2.504458277E2,9.432980274E0,3.000000000E0
2.055096092E2,5.221625932E1,4.521387723E0,1.707184726E0,2.194726796E1,2.502157219E2,1.023097331E1,3.000000000E0
2.065096140E2,5.221618828E1,4.521079457E0,1.592390075E0,2.159220158E1,2.494647208E2,1.076895747E1,3.000000000E0
2.075096190E2,5.221611214E1,4.520771103E0,1.802073782E0,2.138715307E1,2.488965506E2,1.139087340E1,3.000000000E0
2.085096244E2,5.221605475E1,4.520532750E0,1.750446550E0,2.025609779E1,2.480255672E2,1.172870777E1,3.000000000E0
2.095096291E2,5.221598915E1,4.520264247E0,1.609972618E0,1.953101552E1,2.470008918E2,1.263531371E1,3.000000000E0
2.105096353E2,5.221592845E1,4.520006605E0,1.621925171E0,1.874921145E1,2.463237837E2,1.196675304E1,3.000000000E0
2.115096403E2,5.221587429E1,4.519784095E0,1.494812343E0,1.766324407E1,2.453999152E2,1.192847424E1,3.000000000E0
2.125096463E2,5.221581768E1,4.519559618E0,1.641361022E0,1.673766246E1,2.444441608E2,1.298187976E1,3.000000000E0
2.135096511E2,5.221577465E1,4.519377310E0,1.180079865E0,1.520567266E1,2.446375820E2,1.376409946E1,3.000000000E0
2.145096565E2,5.221575384E1,4.519239923E0,1.134395633E0,1.376073182E1,2.456675383E2,1.396470920E1,3.000000000E0
2.155096630E2,5.221572105E1,4.519066308E0,1.067914440E0,1.285392665E1,2.459026118E2,1.490000958E1,3.000000000E0
2.165096684E2,5.221570179E1,4.518900396E0,9.709234927E-1,1.199506684E1,2.471875689E2,1.114384041E1,3.000000000E0
2.175096737E2,5.221564151E1,4.518752331E0,7.515731268E-1,1.137345671E1,2.465341826E2,1.043363571E1,3.000000000E0
2.185096797E2,5.221560474E1,4.518605807E0,4.288157746E-1,1.088454876E1,2.464750319E2,9.619527313E0,3.000000000E0
2.195096854E2,5.221557078E1,4.518454278E0,3.388939966E-1,1.080451244E1,2.477057523E2,9.294893191E0,3.000000000E0
2.205096920E2,5.221551532E1,4.518306486E0,4.042564435E-1,1.085550001E1,2.471947704E2,9.487806501E0,3.000000000E0
2.215096979E2,5.221549777E1,4.518168622E0,6.413484504E-1,1.066746892E1,2.480671052E2,1.122076366E1,3.000000000E0
2.225097039E2,5.221546411E1,4.518031895E0,9.303374710E-1,1.038269871E1,2.481374670E2,1.006323770E1,3.000000000E0
2.235097098E2,5.221544131E1,4.517886097E0,1.502588684E0,1.004800358E1,2.487940149E2,1.031331323E1,3.000000000E0
2.245097164E2,5.221540580E1,4.517762228E0,1.791079181E0,9.367508137E0,2.484508618E2,1.131624115E1,3.000000000E0
2.255097214E2,5.221537432E1,4.517654958E0,1.779597823E0,8.423171289E0,2.486708005E2,1.214268922E1,3.000000000E0
2.265097283E2,5.221534221E1,4.517568397E0,1.921689987E0,7.509625701E0,2.487817606E2,1.323116159E1,3.000000000E0
2.275097345E2,5.221533077E1,4.517504281E0,1.797815639E0,6.304986158E0,2.504819463E2,1.440977263E1,3.000000000E0
2.285097406E2,5.221531522E1,4.517471444E0,1.787965724E0,5.067577448E0,2.515755556E2,1.526109510E1,3.000000000E0
2.295097471E2,5.221530357E1,4.517405834E0,1.803377305E0,4.194932254E0,2.539045788E2,1.645098670E1,3.000000000E0
2.305097532E2,5.221532553E1,4.517367971E0,1.792997657E0,3.044783744E0,2.619546915E2,1.649824522E1,3.000000000E0
2.315097597E2,5.221531559E1,4.517405982E0,1.652601614E0,1.578871682E0,2.592442987E2,1.583107087E1,3.000000000E0
2.325097659E2,5.221532642E1,4.517444155E0,1.173193740E0,4.678760071E-1,2.592443286E2,1.483330075E1,3.000000000E0
2.335097721E2,5.221533126E1,4.517449165E0,1.062324557E0,0.000000000E0,2.592443324E2,1.278910682E1,3.000000000E0
2.345097790E2,5.221529789E1,4.517444995E0,1.157157603E0,1.704098621E-1,2.592443302E2,1.120776448E1,3.000000000E0
