"Time (s)","X (hPa)"
4.152205871E2,1.021674271E3
4.162892811E2,1.021673584E3
4.173579841E2,1.021673584E3
4.184267191E2,1.021673584E3
4.194954581E2,1.021674652E3
4.205641851E2,1.021675873E3
4.216328651E2,1.021676178E3
4.227015301E2,1.021677628E3
4.237701991E2,1.021679993E3
4.248388511E2,1.021681213E3
4.259075071E2,1.021681213E3
4.269761841E2,1.021679306E3
4.280448711E2,1.021675491E3
4.291135011E2,1.021671066E3
4.301821381E2,1.021671066E3
4.312507561E2,1.021672974E3
4.323194281E2,1.021673355E3
4.333880551E2,1.021678009E3
4.344565891E2,1.021682281E3
4.355251741E2,1.021682281E3
4.365937881E2,1.021677246E3
4.376624021E2,1.021677170E3
4.387310131E2,1.021676178E3
4.397996241E2,1.021675949E3
4.408682191E2,1.021676178E3
4.419368151E2,1.021677551E3
4.430053711E2,1.021677551E3
4.440739271E2,1.021676712E3
4.451424731E2,1.021676712E3
4.462110441E2,1.021676712E3
4.472796111E2,1.021676407E3
4.483481491E2,1.021675110E3
4.494167061E2,1.021675110E3
4.504852801E2,1.021673889E3
4.515539091E2,1.021666946E3
4.526224781E2,1.021661453E3
4.536910271E2,1.021657791E3
4.547595611E2,1.021651917E3
4.558281141E2,1.021646881E3
4.568966881E2,1.021644135E3
4.579652821E2,1.021643066E3
4.590338921E2,1.021641464E3
4.601024961E2,1.021641006E3
4.611710911E2,1.021640778E3
4.622396911E2,1.021640778E3
4.633083061E2,1.021646423E3
4.661741810E2,1.021645279E3
4.671760070E2,1.021645584E3
4.681778370E2,1.021645889E3
4.691796410E2,1.021657944E3
4.701814780E2,1.021660461E3
4.705374530E2,1.021666031E3
4.716060750E2,1.021667480E3
4.726747090E2,1.021677170E3
4.737432980E2,1.021681442E3
4.748118730E2,1.021686630E3
4.758804800E2,1.021689453E3
4.769490620E2,1.021689453E3
4.780176570E2,1.021689224E3
4.790862120E2,1.021689224E3
4.801547570E2,1.021689224E3
4.812233400E2,1.021687546E3
4.822919920E2,1.021683350E3
4.833606590E2,1.021678009E3
4.844293430E2,1.021670609E3
4.854980410E2,1.021666031E3
4.865667330E2,1.021658401E3
4.876355100E2,1.021658401E3
4.887042100E2,1.021659927E3
4.897728920E2,1.021659927E3
4.908415990E2,1.021660080E3
4.919103200E2,1.021666946E3
4.929789960E2,1.021669617E3
4.940477330E2,1.021669617E3
4.951164660E2,1.021667480E3
4.961852090E2,1.021663666E3
4.972539530E2,1.021660080E3
4.983226780E2,1.021656799E3
4.993914100E2,1.021656799E3
5.004601410E2,1.021659241E3
5.015288620E2,1.021662292E3
5.025975720E2,1.021662292E3
5.036662900E2,1.021660385E3
5.047350500E2,1.021655579E3
5.058038240E2,1.021654663E3
5.068725720E2,1.021653442E3
5.079413070E2,1.021653976E3
5.090100200E2,1.021652756E3
5.100787170E2,1.021650314E3
5.111474150E2,1.021645584E3
5.122161740E2,1.021635056E3
5.132848890E2,1.021625137E3
5.143535810E2,1.021613998E3
5.154223160E2,1.021610413E3
5.164910480E2,1.021608810E3
5.175597640E2,1.021608810E3
5.186285380E2,1.021610413E3
5.196972570E2,1.021610413E3
5.207659680E2,1.021610641E3
5.218346510E2,1.021610641E3
5.229033180E2,1.021610641E3
5.239719890E2,1.021611328E3
5.250406630E2,1.021611328E3
5.261093130E2,1.021611328E3
5.271779720E2,1.021608582E3
5.282466410E2,1.021608582E3
5.293153470E2,1.021610413E3
5.303840350E2,1.021613770E3
5.314527330E2,1.021618881E3
5.325214070E2,1.021627884E3
5.335900860E2,1.021633835E3
5.346587450E2,1.021638947E3
5.357274300E2,1.021650848E3
5.367961560E2,1.021656342E3
5.378648910E2,1.021660156E3
5.389335740E2,1.021662674E3
5.400023190E2,1.021671295E3
5.410710140E2,1.021675110E3
5.421396960E2,1.021677170E3
5.432084040E2,1.021679764E3
5.442771090E2,1.021682892E3
5.453458170E2,1.021682892E3
5.464145500E2,1.021681366E3
5.474832890E2,1.021679306E3
5.485519870E2,1.021672516E3
5.496206680E2,1.021664734E3
5.506893750E2,1.021663284E3
5.517580560E2,1.021662903E3
5.528267730E2,1.021659470E3
5.538954640E2,1.021655579E3
5.549641590E2,1.021649780E3
5.560328550E2,1.021639938E3
5.571015610E2,1.021625671E3
5.581702990E2,1.021616516E3
5.592389900E2,1.021606216E3
5.603077160E2,1.021600571E3
5.613764080E2,1.021597977E3
5.624451320E2,1.021596756E3
5.635138290E2,1.021595535E3
5.645825060E2,1.021595459E3
5.656511680E2,1.021593628E3
5.667198860E2,1.021593628E3
5.677885930E2,1.021595306E3
5.688573070E2,1.021597214E3
5.699260190E2,1.021598511E3
5.709947570E2,1.021599884E3
5.720634940E2,1.021602249E3
5.731322120E2,1.021602249E3
5.742009020E2,1.021601181E3
5.752695890E2,1.021601181E3
5.763382730E2,1.021603928E3
5.774070290E2,1.021609650E3
5.784757510E2,1.021615143E3
5.795445000E2,1.021620712E3
5.806132070E2,1.021626816E3
5.816819310E2,1.021630859E3
5.827506810E2,1.021636124E3
5.838193720E2,1.021642075E3
5.848880320E2,1.021644363E3
5.859567230E2,1.021644516E3
5.870254090E2,1.021644363E3
5.880941050E2,1.021644516E3
5.891627830E2,1.021643143E3
5.902314900E2,1.021643677E3
5.913001900E2,1.021643143E3
5.923689210E2,1.021642609E3
5.934376240E2,1.021636963E3
5.945062930E2,1.021631927E3
5.955749830E2,1.021626205E3
5.966437040E2,1.021621857E3
5.977124330E2,1.021617661E3
5.987810830E2,1.021617355E3
5.998497300E2,1.021616745E3
6.009184170E2,1.021616516E3
6.019870750E2,1.021610641E3
6.030557260E2,1.021608582E3
6.041243690E2,1.021607513E3
6.051930090E2,1.021605835E3
6.062616980E2,1.021605835E3
6.073304300E2,1.021603775E3
6.083991770E2,1.021596527E3
6.094679080E2,1.021590500E3
6.105366350E2,1.021580200E3
