"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.541003142E2,-2.037219238E1,3.994344330E1,-3.023088646E1
2.541102793E2,-2.143034363E1,3.871324158E1,-3.078640556E1
2.541202432E2,-2.268897247E1,3.747175598E1,-3.153598785E1
2.541302072E2,-2.375129700E1,3.688253403E1,-3.115539551E1
2.541401712E2,-2.479764557E1,3.601411438E1,-3.137187004E1
2.541501352E2,-2.531155396E1,3.575829315E1,-3.091100693E1
2.541601002E2,-2.549185181E1,3.506401062E1,-3.177793503E1
2.541700642E2,-2.509393311E1,3.480401611E1,-3.166153145E1
2.541800282E2,-2.441102600E1,3.424386597E1,-3.288192749E1
2.541899923E2,-2.441102600E1,3.424386597E1,-3.288192749E1
2.541999572E2,-2.349580383E1,3.405663300E1,-3.307309341E1
2.542099213E2,-2.269153595E1,3.342164230E1,-3.425049591E1
2.542198853E2,-2.173443604E1,3.329061890E1,-3.442325592E1
2.542298492E2,-2.095025635E1,3.304600143E1,-3.569315338E1
2.542398132E2,-2.013200378E1,3.309415436E1,-3.571487427E1
2.542497782E2,-1.944268036E1,3.303169632E1,-3.646569443E1
2.542597422E2,-1.868428040E1,3.319844437E1,-3.639946747E1
2.542697062E2,-1.807821655E1,3.299542618E1,-3.682155609E1
2.542796702E2,-1.759638977E1,3.308399582E1,-3.691945267E1
2.542896352E2,-1.703770447E1,3.302389908E1,-3.732599640E1
2.542995992E2,-1.677166748E1,3.283039474E1,-3.706476593E1
2.543095632E2,-1.695776367E1,3.294622040E1,-3.714188385E1
2.543195273E2,-1.731076050E1,3.279995728E1,-3.699080658E1
2.543294912E2,-1.784930420E1,3.257605743E1,-3.677556610E1
2.543394563E2,-1.821627808E1,3.227611160E1,-3.668074799E1
2.543494203E2,-1.845755005E1,3.257730103E1,-3.609975433E1
2.543593842E2,-1.868243408E1,3.284697723E1,-3.606554031E1
2.543693482E2,-1.857276917E1,3.343157196E1,-3.530963135E1
2.543793122E2,-1.827685547E1,3.363263321E1,-3.515902710E1
2.543892772E2,-1.808699036E1,3.434785461E1,-3.424107361E1
2.543992412E2,-1.760607910E1,3.498506927E1,-3.444131851E1
2.544092052E2,-1.760745239E1,3.497213745E1,-3.440939331E1
2.544191693E2,-1.598916626E1,3.662638474E1,-3.336239624E1
2.544291342E2,-1.598770142E1,3.662727737E1,-3.336355591E1
2.544390982E2,-1.554829407E1,3.730567932E1,-3.234437561E1
2.544490623E2,-1.571769714E1,3.695519257E1,-3.293461609E1
2.544590262E2,-1.724131775E1,3.636524963E1,-3.247949600E1
2.544689902E2,-1.943885803E1,3.507649994E1,-3.258612061E1
2.544789553E2,-2.152043915E1,3.430713654E1,-3.181630707E1
2.544889192E2,-2.257801056E1,3.353107452E1,-3.177748871E1
2.544988832E2,-2.293802643E1,3.351198578E1,-3.108424187E1
2.545088472E2,-2.267076111E1,3.339916992E1,-3.168424034E1
2.545188113E2,-2.209806824E1,3.365995789E1,-3.165529823E1
