"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.958533917E0,-4.651448822E1,1.238515949E1,-7.861756134E1
2.968498917E0,-4.645110321E1,1.224204731E1,-7.851106262E1
2.978463917E0,-4.635200500E1,1.212894440E1,-7.817752075E1
2.988429917E0,-4.635200500E1,1.212894440E1,-7.817752075E1
2.998394917E0,-4.637101746E1,1.199902725E1,-7.821455383E1
3.008360917E0,-4.641928864E1,1.209786892E1,-7.818222046E1
3.018325917E0,-4.658580780E1,1.198122120E1,-7.821446991E1
3.028290917E0,-4.657603455E1,1.219810772E1,-7.790015411E1
3.038256917E0,-4.666902924E1,1.234876823E1,-7.781985474E1
3.048221917E0,-4.651129150E1,1.258014488E1,-7.781672668E1
3.058186917E0,-4.650923157E1,1.270485592E1,-7.764504242E1
3.068153208E0,-4.606952667E1,1.295649719E1,-7.735694885E1
3.078118208E0,-4.601145935E1,1.303486347E1,-7.767700958E1
3.088084208E0,-4.574364471E1,1.322554588E1,-7.746261597E1
3.098049208E0,-4.581288910E1,1.306646347E1,-7.747885895E1
3.108014208E0,-4.527528381E1,1.302812958E1,-7.749121094E1
3.117980208E0,-4.476324463E1,1.246314526E1,-7.807682800E1
3.127945208E0,-4.410958099E1,1.209419918E1,-7.846763611E1
3.137910208E0,-4.417193604E1,1.194219971E1,-7.851976013E1
3.147876208E0,-4.423327637E1,1.219999218E1,-7.832437897E1
3.157841208E0,-4.445452881E1,1.232632637E1,-7.818251038E1
3.167807208E0,-4.447843170E1,1.245099640E1,-7.804196930E1
3.177772208E0,-4.464768982E1,1.240744686E1,-7.818387604E1
3.187737208E0,-4.464076996E1,1.239235592E1,-7.822437286E1
3.197703208E0,-4.484899902E1,1.279814243E1,-7.806063843E1
3.207668208E0,-4.509889984E1,1.307216549E1,-7.784355164E1
3.217633208E0,-4.532427979E1,1.332310867E1,-7.760332489E1
3.227599208E0,-4.532427979E1,1.332310867E1,-7.760332489E1
3.237564208E0,-4.532597351E1,1.371131134E1,-7.763120270E1
3.247530208E0,-4.501363373E1,1.431280994E1,-7.741364288E1
3.257495208E0,-4.491796112E1,1.460543156E1,-7.733195496E1
3.267460208E0,-4.500202942E1,1.510887146E1,-7.721234894E1
3.277426208E0,-4.503307343E1,1.505630016E1,-7.727274323E1
3.287391208E0,-4.486467743E1,1.519246960E1,-7.734582520E1
3.297356208E0,-4.467199707E1,1.491079712E1,-7.744573975E1
3.307322208E0,-4.457750702E1,1.497669697E1,-7.752715302E1
3.317287208E0,-4.472106934E1,1.503865814E1,-7.771726227E1
3.327253208E0,-4.443089294E1,1.529763412E1,-7.756848145E1
3.337218208E0,-4.472564697E1,1.519237423E1,-7.774345398E1
