"Time (s)","X (hPa)"
4.806307802E2,1.022882385E3
4.816996272E2,1.022889786E3
4.827684482E2,1.022889786E3
4.838372652E2,1.022884750E3
4.849060952E2,1.022881546E3
4.859749542E2,1.022878342E3
4.870437582E2,1.022878036E3
4.881126402E2,1.022878036E3
4.891814852E2,1.022879028E3
4.902503202E2,1.022879028E3
4.913191402E2,1.022878647E3
4.923879682E2,1.022876282E3
4.934567792E2,1.022869339E3
4.945256272E2,1.022862167E3
4.955944632E2,1.022858047E3
4.966633152E2,1.022852097E3
4.977321152E2,1.022849731E3
4.988009092E2,1.022849731E3
4.998696992E2,1.022853088E3
5.009384922E2,1.022853088E3
5.020072922E2,1.022852783E3
5.030760802E2,1.022852325E3
5.041448682E2,1.022852325E3
5.052136342E2,1.022851868E3
5.062824422E2,1.022849579E3
5.073512732E2,1.022845764E3
5.084200782E2,1.022843094E3
5.094888992E2,1.022840958E3
5.105577032E2,1.022827454E3
5.116265042E2,1.022813416E3
5.126952792E2,1.022809601E3
5.137640352E2,1.022803879E3
5.148327932E2,1.022800522E3
5.159015442E2,1.022800522E3
5.169703532E2,1.022809982E3
5.180391662E2,1.022809982E3
5.191079782E2,1.022809143E3
5.201767642E2,1.022807312E3
5.212455562E2,1.022800751E3
5.223143102E2,1.022797928E3
5.233830872E2,1.022796707E3
5.244518862E2,1.022796707E3
5.255207152E2,1.022797775E3
5.265895402E2,1.022804031E3
5.276583822E2,1.022806015E3
5.287272702E2,1.022806168E3
5.297961192E2,1.022806015E3
5.308649142E2,1.022804718E3
5.319337312E2,1.022793579E3
5.330025722E2,1.022780151E3
5.340713702E2,1.022764893E3
5.351401602E2,1.022752151E3
5.362089802E2,1.022730789E3
5.372778092E2,1.022710190E3
5.383466492E2,1.022687302E3
5.394155042E2,1.022662888E3
5.404843242E2,1.022631073E3
5.415531122E2,1.022592926E3
5.426219012E2,1.022554398E3
5.436907032E2,1.022515869E3
5.447595182E2,1.022475662E3
5.458282892E2,1.022442627E3
5.468970812E2,1.022418900E3
5.479658972E2,1.022401733E3
5.490346982E2,1.022387009E3
5.501035392E2,1.022374039E3
5.511724752E2,1.022356262E3
5.522414362E2,1.022342453E3
5.533103622E2,1.022327423E3
5.543792832E2,1.022316360E3
5.554482062E2,1.022304916E3
5.565171482E2,1.022295914E3
5.575860462E2,1.022286453E3
5.586549352E2,1.022274475E3
5.597238202E2,1.022263718E3
5.607927332E2,1.022256165E3
5.618616462E2,1.022249603E3
5.629305842E2,1.022242813E3
5.639994832E2,1.022238388E3
5.650682892E2,1.022232132E3
5.661370812E2,1.022226181E3
5.672059042E2,1.022216721E3
5.682747572E2,1.022208176E3
5.693436422E2,1.022197952E3
5.704125532E2,1.022188187E3
5.714814862E2,1.022178421E3
5.725503412E2,1.022172165E3
5.736192102E2,1.022165375E3
5.746880402E2,1.022163696E3
5.757568482E2,1.022163696E3
5.768256732E2,1.022164917E3
5.778944782E2,1.022167130E3
5.789633182E2,1.022169800E3
5.800321762E2,1.022169800E3
5.811010192E2,1.022159958E3
5.821698812E2,1.022149811E3
5.832386992E2,1.022139740E3
5.843075372E2,1.022129364E3
5.853763582E2,1.022115021E3
5.864451992E2,1.022107086E3
5.875140552E2,1.022107086E3
5.885828792E2,1.022126389E3
5.896517002E2,1.022126389E3
5.907205132E2,1.022123947E3
5.917893282E2,1.022027130E3
5.928581462E2,1.021906509E3
5.939269822E2,1.021758652E3
5.949958072E2,1.021620407E3
5.960646492E2,1.021511688E3
5.971334272E2,1.021478043E3
5.982022372E2,1.021475983E3
5.992709942E2,1.021474075E3
6.003397652E2,1.021471252E3
6.014086212E2,1.021469193E3
6.024775132E2,1.021467056E3
6.035464042E2,1.021467056E3
6.046152432E2,1.021468201E3
6.056840582E2,1.021471710E3
6.067529002E2,1.021473846E3
6.078216862E2,1.021477890E3
6.088904972E2,1.021480331E3
6.099593282E2,1.021480560E3
6.110281802E2,1.021480560E3
