"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.548268208E0,3.455593884E-1,1.476995349E-1,-3.424041569E-1
2.558232208E0,3.909505904E-1,1.638348252E-1,-2.714815140E-1
2.568197208E0,4.032538831E-1,1.642411649E-1,-2.021946609E-1
2.578161208E0,3.823821545E-1,1.337817907E-1,-1.238143742E-1
2.588126208E0,3.432906568E-1,6.824119389E-2,-5.144857988E-2
2.598090208E0,2.889411151E-1,1.429593842E-2,1.036977954E-2
2.608054208E0,2.274064720E-1,-4.326036945E-2,5.941945314E-2
2.618019208E0,1.692169309E-1,-8.760013431E-2,1.000744700E-1
2.627983208E0,1.150249019E-1,-1.152134687E-1,1.319819987E-1
2.637948208E0,1.011077538E-1,-1.756147593E-1,1.545735896E-1
2.647912208E0,1.455965936E-1,-2.085737437E-1,1.785620153E-1
2.657877208E0,2.322854102E-1,-1.841086149E-1,1.926967353E-1
2.667841208E0,3.142945766E-1,-1.230452508E-1,1.985983700E-1
2.677806208E0,3.420148790E-1,-1.082761586E-1,1.892008781E-1
2.687770208E0,3.067077994E-1,-1.402336061E-1,1.778706610E-1
2.697735208E0,2.560211718E-1,-1.530628502E-1,1.712897271E-1
2.707699208E0,2.047875077E-1,-9.583761543E-2,1.706053764E-1
2.717663208E0,1.639005244E-1,-2.337060310E-2,1.763703227E-1
2.727628208E0,1.155338213E-1,5.126311257E-2,1.720950902E-1
2.737592208E0,2.992730401E-2,1.071050689E-1,1.545938551E-1
2.747557208E0,-1.105328426E-1,1.368250996E-1,1.563954204E-1
2.757521208E0,-2.870170474E-1,1.639182419E-1,1.750383377E-1
2.767486208E0,-4.816002250E-1,1.981197149E-1,1.944339275E-1
2.777450208E0,-6.848830581E-1,1.863943487E-1,2.060935050E-1
2.787415208E0,-8.894637227E-1,1.119148880E-1,2.067018300E-1
2.797379208E0,-1.069608688E0,-2.932292223E-2,2.044882178E-1
2.807344208E0,-1.183382392E0,-1.833105236E-1,2.088936567E-1
2.817308208E0,-1.184547544E0,-3.061591983E-1,2.249432057E-1
2.827272208E0,-1.047518253E0,-3.801825047E-1,2.596682906E-1
2.837237208E0,-7.959640026E-1,-3.850773871E-1,3.125642538E-1
2.847201208E0,-4.796181321E-1,-3.225430846E-1,3.745786250E-1
2.857166208E0,-1.427168101E-1,-2.707318068E-1,4.307931662E-1
2.867130208E0,1.680115759E-1,-1.170181781E-1,5.042479634E-1
2.877095208E0,3.852450848E-1,-2.955525648E-3,5.848860741E-1
2.887059208E0,5.120956898E-1,-2.037527971E-2,6.676360965E-1
2.897024208E0,5.128842592E-1,4.397282004E-2,7.184113860E-1
2.906988208E0,4.240379632E-1,-7.788336370E-3,7.230831981E-1
2.916953208E0,3.125077188E-1,-2.344292961E-2,7.382709384E-1
2.926917208E0,1.246310696E-1,-1.264628582E-2,7.076666951E-1
2.936881208E0,-4.138054326E-2,-9.377256036E-2,6.867867112E-1
2.946846208E0,-2.167463005E-1,-9.531364590E-2,6.888856888E-1
2.956810208E0,-4.072999954E-1,-1.765155643E-1,6.801536679E-1
2.966775208E0,-5.423129201E-1,-2.788113356E-1,7.046948671E-1
2.976739208E0,-6.333562732E-1,-3.163001239E-1,6.996310949E-1
2.986704208E0,-6.226530075E-1,-3.364138901E-1,6.884040833E-1
2.996668208E0,-5.727165937E-1,-3.523052335E-1,6.761537790E-1
3.006633208E0,-4.895993769E-1,-3.787605166E-1,6.464279890E-1
3.016597208E0,-3.700112104E-1,-4.801396132E-1,6.103189588E-1
3.026561208E0,-2.362624258E-1,-4.390806258E-1,6.002084613E-1
3.036526208E0,-7.453637570E-2,-3.828562200E-1,5.683099031E-1
3.046490208E0,9.206767380E-2,-2.481508106E-1,5.381217003E-1
3.056455208E0,2.040629089E-1,-1.774715781E-1,5.081409216E-1
3.066419208E0,2.899869680E-1,-1.007350534E-1,4.873574674E-1
3.076384208E0,3.131822944E-1,-2.116939053E-2,4.760677814E-1
3.086348208E0,3.307957053E-1,6.391608156E-3,4.687592983E-1
3.096313208E0,3.269764483E-1,2.068878710E-2,4.434909821E-1
3.106277208E0,2.855753601E-1,6.418629549E-3,4.231043160E-1
3.116242208E0,2.124087363E-1,-3.853100166E-2,4.023764133E-1
3.126206208E0,1.200811118E-1,-1.250295788E-1,3.788003027E-1
3.136171208E0,1.824342646E-2,-2.281495780E-1,3.623512983E-1
3.146135208E0,-4.790565744E-2,-3.072442114E-1,3.510245383E-1
3.156099208E0,-7.359983772E-2,-3.441697359E-1,3.564917445E-1
3.166064208E0,-1.287167519E-1,-3.733179271E-1,3.396319449E-1
3.176028208E0,-1.334206909E-1,-3.957723677E-1,3.388849199E-1
3.185993208E0,-1.120616794E-1,-3.232696056E-1,3.414809406E-1
3.195957208E0,-1.083670706E-1,-1.715535671E-1,3.214670420E-1
3.205922208E0,-1.271193027E-1,-5.478023365E-2,3.073999286E-1
3.215886208E0,-1.683990955E-1,1.412213314E-2,2.753530443E-1
3.225851208E0,-2.474607080E-1,5.847344920E-2,2.268175036E-1
3.235815208E0,-3.606328368E-1,5.405846238E-2,1.772302389E-1
3.245780208E0,-4.907298982E-1,-8.769148961E-3,1.273504347E-1
3.255744208E0,-6.286286116E-1,-1.102987006E-1,6.479491293E-2
3.265708208E0,-7.289661765E-1,-2.052001953E-1,7.330048364E-3
3.275673208E0,-7.379404902E-1,-2.562679052E-1,-5.165604129E-2
3.285637208E0,-6.507652402E-1,-2.633166313E-1,-1.090101972E-1
3.295602208E0,-4.539397657E-1,-2.613887787E-1,-1.693267971E-1
3.305566208E0,-1.851315945E-1,-2.491296381E-1,-2.276944369E-1
3.315531208E0,8.680485189E-2,-1.627859622E-1,-2.897157073E-1
3.325495208E0,3.114766181E-1,-5.751125142E-2,-3.351564407E-1
3.335460208E0,4.292011261E-1,6.780386902E-3,-3.571485579E-1
3.345424208E0,4.267549813E-1,-1.051926985E-3,-3.592922986E-1
3.355389208E0,3.123285472E-1,-6.706423312E-2,-3.298478723E-1
3.365353208E0,1.229363456E-1,-1.351413876E-1,-2.868368030E-1
3.375317208E0,-1.234023273E-1,-2.081271857E-1,-2.695342600E-1
3.385282208E0,-4.280100465E-1,-2.444884628E-1,-2.697806656E-1
3.395246208E0,-7.306602001E-1,-2.418388873E-1,-2.878909707E-1
3.405211208E0,-9.263963699E-1,-2.184164822E-1,-2.899635732E-1
3.415175208E0,-9.298971295E-1,-1.351453066E-1,-2.741497159E-1
3.425140208E0,-7.225693464E-1,-5.183121189E-3,-2.419436276E-1
3.435104208E0,-3.878148198E-1,1.619174480E-1,-2.209533900E-1
3.445069208E0,5.644554272E-3,3.131205440E-1,-2.011861801E-1
3.455033208E0,3.319917619E-1,4.005153775E-1,-1.916975975E-1
3.464997208E0,5.247948170E-1,4.097754955E-1,-1.983198375E-1
3.474962208E0,5.877391696E-1,4.056864679E-1,-2.082981765E-1
3.484926208E0,5.340819359E-1,3.944291174E-1,-2.194075584E-1
3.494891208E0,4.055559337E-1,3.348246515E-1,-2.423757315E-1
3.504855208E0,2.018663138E-1,2.274578065E-1,-2.891137302E-1
3.514820208E0,1.121434197E-2,1.133706570E-1,-3.447519541E-1
3.524784208E0,-1.044942439E-1,6.070301682E-2,-4.007136822E-1
