"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.473007098E2,5.239001959E1,4.888846532E0,-2.747378128E0,2.534774911E0,2.814463501E2,1.308045111E1,1.014267128E1
1.483006916E2,5.239002311E1,4.888818117E0,-3.103543524E0,2.010876630E0,2.814463501E2,1.313872634E1,1.011882082E1
1.493006724E2,5.239002729E1,4.888784345E0,-4.293198149E0,2.194426684E0,2.814463501E2,1.319408766E1,1.027496666E1
1.503006535E2,5.239003152E1,4.888750247E0,-3.964923844E0,1.990423605E0,2.814463501E2,1.324668097E1,1.112136172E1
1.513006345E2,5.239003610E1,4.888713244E0,-4.530826164E0,2.015161426E0,2.814463501E2,1.329664475E1,1.158389513E1
1.523006144E2,5.239004076E1,4.888675223E0,-4.624803465E0,2.224268529E0,2.813783264E2,1.334411023E1,1.196297112E1
1.533005954E2,5.239004535E1,4.888637951E0,-5.028789184E0,1.846975572E0,2.813783264E2,1.338920239E1,1.224104575E1
1.543005755E2,5.239004984E1,4.888601467E0,-5.748866535E0,2.124180177E0,2.813783264E2,1.343203988E1,1.190228397E1
1.553005561E2,5.239005469E1,4.888562145E0,-6.127564902E0,1.882022631E0,2.813783264E2,1.347273557E1,1.164916134E1
1.563005363E2,5.239005919E1,4.888525531E0,-6.298289119E0,2.069888653E0,2.813783264E2,1.351139661E1,1.052373567E1
1.573005164E2,5.239006642E1,4.888467340E0,-6.401441427E0,2.924270729E0,2.814601440E2,1.354812419E1,1.054351971E1
1.583004963E2,5.239006885E1,4.888447786E0,-6.729251584E0,1.885052492E0,2.814601440E2,1.358301595E1,1.084274333E1
1.593004768E2,5.239007541E1,4.888394877E0,-7.033353807E0,2.735067035E0,2.814601440E2,1.361616261E1,1.079265863E1
1.603004564E2,5.239007788E1,4.888374988E0,-7.563353237E0,1.793698107E0,2.814601440E2,1.364765247E1,1.065999784E1
1.613004363E2,5.239008327E1,4.888331562E0,-7.969892402E0,2.294335711E0,2.814601440E2,1.367756739E1,1.055632037E1
