"Time (s)","X (hPa)"
4.450769819E2,1.015388794E3
4.461378329E2,1.015395432E3
4.471986829E2,1.015407944E3
4.482595519E2,1.015424194E3
4.493204479E2,1.015426331E3
4.503812869E2,1.015426331E3
4.514421679E2,1.015420837E3
4.525030099E2,1.015403366E3
4.535638469E2,1.015389862E3
4.546246699E2,1.015368042E3
4.556855379E2,1.015361938E3
4.567464259E2,1.015345459E3
4.578073099E2,1.015296021E3
4.588682459E2,1.015257263E3
4.599292069E2,1.015231857E3
4.609901599E2,1.015212784E3
4.620510199E2,1.015212784E3
4.631118899E2,1.015241470E3
4.641727379E2,1.015274734E3
4.652336219E2,1.015299835E3
4.662945479E2,1.015319366E3
4.673554109E2,1.015337219E3
4.684162689E2,1.015353470E3
4.694771109E2,1.015359955E3
4.705379879E2,1.015367126E3
4.715989049E2,1.015367126E3
4.726598179E2,1.015329285E3
4.737207289E2,1.015271759E3
4.747816769E2,1.015194473E3
4.758425379E2,1.015103531E3
4.769034269E2,1.015045929E3
4.779643289E2,1.015014954E3
4.790252389E2,1.014986496E3
4.800860929E2,1.014982147E3
4.811470289E2,1.014973679E3
4.822079639E2,1.014960709E3
4.832688449E2,1.014960709E3
4.843297099E2,1.014965057E3
4.853906109E2,1.014977036E3
4.864514739E2,1.014985123E3
4.875123999E2,1.014985123E3
4.885733359E2,1.014985123E3
4.896342569E2,1.014983749E3
4.906952089E2,1.014983749E3
4.917561319E2,1.015017700E3
4.928170899E2,1.015051117E3
4.938780329E2,1.015078812E3
4.949389089E2,1.015102463E3
4.959998509E2,1.015136414E3
4.970608049E2,1.015173874E3
4.981217819E2,1.015217285E3
4.991826799E2,1.015246582E3
5.002435549E2,1.015294800E3
5.013044839E2,1.015320587E3
5.023653659E2,1.015344849E3
5.034263149E2,1.015358963E3
5.044872699E2,1.015386353E3
5.055481929E2,1.015417633E3
5.066091409E2,1.015459976E3
5.076701019E2,1.015486755E3
5.087310559E2,1.015526123E3
5.097920829E2,1.015571213E3
5.108530689E2,1.015613937E3
5.119139889E2,1.015659103E3
5.129749339E2,1.015710754E3
5.140358519E2,1.015762558E3
5.150967509E2,1.015763626E3
5.161577079E2,1.015763626E3
5.172186619E2,1.015763626E3
5.182796719E2,1.015763397E3
5.193407249E2,1.015759125E3
5.204017349E2,1.015759125E3
5.214626879E2,1.015807343E3
5.225235969E2,1.015825500E3
5.235845789E2,1.015830536E3
5.246455329E2,1.015836029E3
5.257064889E2,1.015847778E3
5.267674479E2,1.015854950E3
5.278283829E2,1.015863113E3
5.288893129E2,1.015863190E3
5.299502409E2,1.015881042E3
5.310111739E2,1.015912247E3
5.320721179E2,1.015944366E3
5.331331079E2,1.015982056E3
5.341940859E2,1.016029282E3
5.352550699E2,1.016079025E3
5.363160799E2,1.016116867E3
5.373771349E2,1.016152420E3
5.384381409E2,1.016192551E3
5.394991109E2,1.016224442E3
5.405600819E2,1.016250305E3
5.416210009E2,1.016277618E3
5.426819789E2,1.016277618E3
5.437429499E2,1.016269913E3
5.448039859E2,1.016228027E3
5.458649519E2,1.016165848E3
5.469259089E2,1.016088333E3
5.479868209E2,1.016017075E3
5.490477979E2,1.015976562E3
5.501087959E2,1.015976562E3
5.511697669E2,1.015979156E3
5.522307639E2,1.016028137E3
5.532917389E2,1.016089249E3
5.543526399E2,1.016131134E3
5.554135859E2,1.016168823E3
5.564745779E2,1.016168823E3
5.575355389E2,1.016167374E3
5.585965469E2,1.016150131E3
5.596575659E2,1.016133270E3
5.607185739E2,1.016117172E3
5.617795809E2,1.016117172E3
5.628405729E2,1.016119766E3
5.639015449E2,1.016122971E3
5.649625059E2,1.016126709E3
5.660234709E2,1.016135712E3
5.670843919E2,1.016135712E3
5.681453929E2,1.016131287E3
5.692064079E2,1.016129913E3
5.702673919E2,1.016103363E3
5.713283399E2,1.016084747E3
5.723893519E2,1.016075363E3
5.734503749E2,1.016075134E3
5.745114149E2,1.016062927E3
5.755724429E2,1.016062927E3
5.766334939E2,1.016080170E3
5.776945109E2,1.016091080E3
5.787555159E2,1.016096649E3
5.798164659E2,1.016110764E3
5.808773959E2,1.016124115E3
5.819384289E2,1.016128387E3
5.829993979E2,1.016131363E3
5.840604249E2,1.016131363E3
5.851214279E2,1.016129913E3
5.861824179E2,1.016125641E3
5.872433969E2,1.016111374E3
5.883043419E2,1.016097717E3
5.893653239E2,1.016097412E3
5.904263449E2,1.016097412E3
5.914873559E2,1.016105423E3
5.925483689E2,1.016117172E3
5.936093219E2,1.016135712E3
5.946702839E2,1.016163788E3
5.957312619E2,1.016175690E3
5.967922479E2,1.016198044E3
5.978532569E2,1.016231766E3
5.989142689E2,1.016256866E3
5.999752609E2,1.016282654E3
6.010362199E2,1.016298447E3
6.020972059E2,1.016319504E3
6.031581749E2,1.016343307E3
6.042191589E2,1.016359787E3
6.052800979E2,1.016360397E3
6.063411149E2,1.016360397E3
6.074021679E2,1.016353607E3
6.084631949E2,1.016327362E3
6.095241739E2,1.016314468E3
6.105851699E2,1.016307755E3
6.116462199E2,1.016303787E3
6.127073009E2,1.016303177E3
6.137683469E2,1.016294937E3
